Sno,link,Author,Title,Posted,Filename,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31
0,http://www.ted.com/talks/caleb_harper_this_computer_will_grow_your_food_in_the_future/transcript,Caleb Harper, This computer will grow your food in the future , Mar 2016 ,caleb_harper_this_computer_will_grow_your_food_in_the_future.txt,,Vaccines,Agriculture,Biomechanics,Biotech,Botany,Chemistry,Climate,change,Collaboration,Data,Design,Ebola,Ecology,Education,Engineering,Environment,Food,Future,Garden,Green,Innovation,Nature,Open-source,Potential,Science,Software,Sustainability,Technology,Virus,Water
1,http://www.ted.com/talks/jocelyne_bloch_the_brain_may_be_able_to_repair_itself_with_help/transcript,Jocelyne Bloch, The brain may be able to repair itself — with help , Feb 2016 ,jocelyne_bloch_the_brain_may_be_able_to_repair_itself_with_help.txt,,Surgery,Brain,Health,Medical,research,Medicine,Mind,Neuroscience,Science,,,,,,,,,,,,,,,,,,,,,
2,http://www.ted.com/talks/dambisa_moyo_economic_growth_has_stalled_let_s_fix_it/transcript,Dambisa Moyo, Economic growth has stalled. Let's fix it , Feb 2016 ,dambisa_moyo_economic_growth_has_stalled_let_s_fix_it.txt,,United,States,Business,Capitalism,China,Democracy,Economics,Finance,Future,Global,development,Global,issues,Government,Leadership,Money,Policy,Society,,,,,,,,,,,,
3,http://www.ted.com/talks/andres_ruzo_the_mythical_boiling_river_of_the_amazon/transcript,Andrés Ruzo, The boiling river of the Amazon , Feb 2016 ,andres_ruzo_the_mythical_boiling_river_of_the_amazon.txt,,Bioethics,South,America,Adventure,Beauty,Chemistry,Ecology,Environment,Exploration,Geology,Motivation,Nature,Science,,,,,,,,,,,,,,,,,
4,http://www.ted.com/talks/melati_and_isabel_wijsen_our_campaign_to_ban_plastic_bags_in_bali/transcript,Melati and Isabel Wijsen, Our campaign to ban plastic bags in Bali , Jan 2016 ,melati_and_isabel_wijsen_our_campaign_to_ban_plastic_bags_in_bali.txt,,Activism,Big,problems,Consumerism,Education,Environment,Future,Global,development,Materials,Oceans,Plastic,Pollution,Sustainability,Youth,,,,,,,,,,,,,,,
5,http://www.ted.com/talks/auke_ijspeert_a_robot_that_runs_and_swims_like_a_salamander/transcript,Auke Ijspeert, A robot that runs and swims like a salamander , Jan 2016 ,auke_ijspeert_a_robot_that_runs_and_swims_like_a_salamander.txt,,Animals,Biology,Biomechanics,Biotech,Design,Engineering,Future,Innovation,Invention,Nature,Neuroscience,Physics,Robots,Technology,,,,,,,,,,,,,,,,
6,http://www.ted.com/talks/yanis_varoufakis_capitalism_will_eat_democracy_unless_we_speak_up/transcript,Yanis Varoufakis, Capitalism will eat democracy — unless we speak up , Jan 2016 ,yanis_varoufakis_capitalism_will_eat_democracy_unless_we_speak_up.txt,,Europe,United,States,Activism,Big,problems,Business,Capitalism,Democracy,Economics,Finance,Global,issues,Government,Investment,Leadership,Money,Politics,Society,,,,,,,,,,,
7,http://www.ted.com/talks/elizabeth_lev_the_unheard_story_of_the_sistine_chapel/transcript,Elizabeth Lev, The unheard story of the Sistine Chapel , Jan 2016 ,elizabeth_lev_the_unheard_story_of_the_sistine_chapel.txt,,Christianity,God,Art,Beauty,Creativity,Culture,History,Museums,Painting,Religion,Visualizations,,,,,,,,,,,,,,,,,,,
8,http://www.ted.com/talks/jill_farrant_how_we_can_make_crops_survive_without_water/transcript,Jill Farrant, How we can make crops survive without water , Jan 2016 ,jill_farrant_how_we_can_make_crops_survive_without_water.txt,,Africa,Bioethics,Agriculture,Biology,Biotech,Botany,Chemistry,Climate,change,Environment,Food,Garden,Genetics,Global,issues,Microbiology,Nature,Plants,Potential,Science,Sustainability,Water,Weather,,,,,,,
9,http://www.ted.com/talks/ole_scheeren_why_great_architecture_should_tell_a_story/transcript,Ole Scheeren, Why great architecture should tell a story , Jan 2016 ,ole_scheeren_why_great_architecture_should_tell_a_story.txt,,Architecture,Cities,Collaboration,Community,Creativity,Design,Engineering,Environment,Industrial,design,Innovation,Productivity,Public,spaces,Technology,Urban,planning,Work,,,,,,,,,,,,
10,http://www.ted.com/talks/wael_ghonim_let_s_design_social_media_that_drives_real_change/transcript,Wael Ghonim, Let's design social media that drives real change , Jan 2016 ,wael_ghonim_let_s_design_social_media_that_drives_real_change.txt,,Egypt,Internet,Middle,East,Activism,Big,problems,Collaboration,Communication,Computers,Democracy,Entrepreneur,Government,Innovation,Media,Motivation,Politics,Social,change,Social,media,Society,State-building,Web,,,,,,
